COUNTYFP,MODE_USAGE,STATE,Attribute,Value
6001,ALWAYS,California,NEVER,0.019
6001,ALWAYS,California,RARELY,0.008
6001,ALWAYS,California,SOMETIMES,0.055
6001,ALWAYS,California,FREQUENTLY,0.123
6001,ALWAYS,California,ALWAYS,0.795
6003,ALWAYS,California,NEVER,0.025
6003,ALWAYS,California,RARELY,0.085
6003,ALWAYS,California,SOMETIMES,0.088
6003,ALWAYS,California,FREQUENTLY,0.19
6003,ALWAYS,California,ALWAYS,0.612
6005,ALWAYS,California,NEVER,0.045
6005,ALWAYS,California,RARELY,0.013
6005,ALWAYS,California,SOMETIMES,0.099
6005,ALWAYS,California,FREQUENTLY,0.188
6005,ALWAYS,California,ALWAYS,0.655
6007,ALWAYS,California,NEVER,0.015
6007,ALWAYS,California,RARELY,0.043
6007,ALWAYS,California,SOMETIMES,0.111
6007,ALWAYS,California,FREQUENTLY,0.204
6007,ALWAYS,California,ALWAYS,0.626
6009,ALWAYS,California,NEVER,0.045
6009,ALWAYS,California,RARELY,0.019
6009,ALWAYS,California,SOMETIMES,0.098
6009,ALWAYS,California,FREQUENTLY,0.276
6009,ALWAYS,California,ALWAYS,0.562
6011,ALWAYS,California,NEVER,0.027
6011,ALWAYS,California,RARELY,0.031
6011,ALWAYS,California,SOMETIMES,0.092
6011,ALWAYS,California,FREQUENTLY,0.151
6011,ALWAYS,California,ALWAYS,0.7
6013,ALWAYS,California,NEVER,0.018
6013,ALWAYS,California,RARELY,0.016
6013,ALWAYS,California,SOMETIMES,0.039
6013,ALWAYS,California,FREQUENTLY,0.121
6013,ALWAYS,California,ALWAYS,0.806
6015,ALWAYS,California,NEVER,0.01
6015,ALWAYS,California,RARELY,0.135
6015,ALWAYS,California,SOMETIMES,0.112
6015,ALWAYS,California,FREQUENTLY,0.196
6015,ALWAYS,California,ALWAYS,0.547
6017,ALWAYS,California,NEVER,0.028
6017,ALWAYS,California,RARELY,0.042
6017,ALWAYS,California,SOMETIMES,0.072
6017,ALWAYS,California,FREQUENTLY,0.183
6017,ALWAYS,California,ALWAYS,0.675
6019,ALWAYS,California,NEVER,0.021
6019,ALWAYS,California,RARELY,0.022
6019,ALWAYS,California,SOMETIMES,0.059
6019,ALWAYS,California,FREQUENTLY,0.156
6019,ALWAYS,California,ALWAYS,0.741
6021,ALWAYS,California,NEVER,0.028
6021,ALWAYS,California,RARELY,0.026
6021,ALWAYS,California,SOMETIMES,0.146
6021,ALWAYS,California,FREQUENTLY,0.206
6021,ALWAYS,California,ALWAYS,0.594
6023,ALWAYS,California,NEVER,0.042
6023,ALWAYS,California,RARELY,0.006
6023,ALWAYS,California,SOMETIMES,0.018
6023,ALWAYS,California,FREQUENTLY,0.069
6023,ALWAYS,California,ALWAYS,0.865
6025,ALWAYS,California,NEVER,0.001
6025,ALWAYS,California,RARELY,0.005
6025,ALWAYS,California,SOMETIMES,0.03
6025,ALWAYS,California,FREQUENTLY,0.128
6025,ALWAYS,California,ALWAYS,0.836
6027,ALWAYS,California,NEVER,0.033
6027,ALWAYS,California,RARELY,0.011
6027,ALWAYS,California,SOMETIMES,0.008
6027,ALWAYS,California,FREQUENTLY,0.058
6027,ALWAYS,California,ALWAYS,0.889
6029,ALWAYS,California,NEVER,0.022
6029,ALWAYS,California,RARELY,0.028
6029,ALWAYS,California,SOMETIMES,0.105
6029,ALWAYS,California,FREQUENTLY,0.177
6029,ALWAYS,California,ALWAYS,0.668
6031,ALWAYS,California,NEVER,0.075
6031,ALWAYS,California,RARELY,0.016
6031,ALWAYS,California,SOMETIMES,0.049
6031,ALWAYS,California,FREQUENTLY,0.094
6031,ALWAYS,California,ALWAYS,0.766
6033,ALWAYS,California,NEVER,0.003
6033,ALWAYS,California,RARELY,0.004
6033,ALWAYS,California,SOMETIMES,0.007
6033,ALWAYS,California,FREQUENTLY,0.136
6033,ALWAYS,California,ALWAYS,0.849
6035,ALWAYS,California,NEVER,0.064
6035,ALWAYS,California,RARELY,0.068
6035,ALWAYS,California,SOMETIMES,0.162
6035,ALWAYS,California,FREQUENTLY,0.225
6035,ALWAYS,California,ALWAYS,0.482
6037,ALWAYS,California,NEVER,0.021
6037,ALWAYS,California,RARELY,0.013
6037,ALWAYS,California,SOMETIMES,0.049
6037,ALWAYS,California,FREQUENTLY,0.131
6037,ALWAYS,California,ALWAYS,0.786
6039,ALWAYS,California,NEVER,0.019
6039,ALWAYS,California,RARELY,0.059
6039,ALWAYS,California,SOMETIMES,0.048
6039,ALWAYS,California,FREQUENTLY,0.124
6039,ALWAYS,California,ALWAYS,0.751
6041,ALWAYS,California,NEVER,0.011
6041,ALWAYS,California,RARELY,0
6041,ALWAYS,California,SOMETIMES,0.046
6041,ALWAYS,California,FREQUENTLY,0.141
6041,ALWAYS,California,ALWAYS,0.802
6043,ALWAYS,California,NEVER,0.01
6043,ALWAYS,California,RARELY,0.094
6043,ALWAYS,California,SOMETIMES,0.049
6043,ALWAYS,California,FREQUENTLY,0.186
6043,ALWAYS,California,ALWAYS,0.661
6045,ALWAYS,California,NEVER,0.002
6045,ALWAYS,California,RARELY,0.003
6045,ALWAYS,California,SOMETIMES,0.004
6045,ALWAYS,California,FREQUENTLY,0.222
6045,ALWAYS,California,ALWAYS,0.77
6047,ALWAYS,California,NEVER,0.026
6047,ALWAYS,California,RARELY,0.036
6047,ALWAYS,California,SOMETIMES,0.089
6047,ALWAYS,California,FREQUENTLY,0.146
6047,ALWAYS,California,ALWAYS,0.703
6049,ALWAYS,California,NEVER,0.068
6049,ALWAYS,California,RARELY,0.019
6049,ALWAYS,California,SOMETIMES,0.095
6049,ALWAYS,California,FREQUENTLY,0.204
6049,ALWAYS,California,ALWAYS,0.615
6051,ALWAYS,California,NEVER,0.011
6051,ALWAYS,California,RARELY,0.026
6051,ALWAYS,California,SOMETIMES,0.012
6051,ALWAYS,California,FREQUENTLY,0.07
6051,ALWAYS,California,ALWAYS,0.88
6053,ALWAYS,California,NEVER,0.023
6053,ALWAYS,California,RARELY,0.006
6053,ALWAYS,California,SOMETIMES,0.066
6053,ALWAYS,California,FREQUENTLY,0.141
6053,ALWAYS,California,ALWAYS,0.763
6055,ALWAYS,California,NEVER,0.017
6055,ALWAYS,California,RARELY,0.026
6055,ALWAYS,California,SOMETIMES,0.033
6055,ALWAYS,California,FREQUENTLY,0.149
6055,ALWAYS,California,ALWAYS,0.773
6057,ALWAYS,California,NEVER,0.003
6057,ALWAYS,California,RARELY,0.054
6057,ALWAYS,California,SOMETIMES,0.084
6057,ALWAYS,California,FREQUENTLY,0.177
6057,ALWAYS,California,ALWAYS,0.682
6059,ALWAYS,California,NEVER,0.023
6059,ALWAYS,California,RARELY,0.021
6059,ALWAYS,California,SOMETIMES,0.046
6059,ALWAYS,California,FREQUENTLY,0.156
6059,ALWAYS,California,ALWAYS,0.754
6061,ALWAYS,California,NEVER,0.012
6061,ALWAYS,California,RARELY,0.023
6061,ALWAYS,California,SOMETIMES,0.072
6061,ALWAYS,California,FREQUENTLY,0.201
6061,ALWAYS,California,ALWAYS,0.693
6063,ALWAYS,California,NEVER,0.063
6063,ALWAYS,California,RARELY,0.067
6063,ALWAYS,California,SOMETIMES,0.053
6063,ALWAYS,California,FREQUENTLY,0.146
6063,ALWAYS,California,ALWAYS,0.671
6065,ALWAYS,California,NEVER,0.026
6065,ALWAYS,California,RARELY,0.014
6065,ALWAYS,California,SOMETIMES,0.041
6065,ALWAYS,California,FREQUENTLY,0.116
6065,ALWAYS,California,ALWAYS,0.803
6067,ALWAYS,California,NEVER,0.025
6067,ALWAYS,California,RARELY,0.028
6067,ALWAYS,California,SOMETIMES,0.062
6067,ALWAYS,California,FREQUENTLY,0.164
6067,ALWAYS,California,ALWAYS,0.722
6069,ALWAYS,California,NEVER,0.018
6069,ALWAYS,California,RARELY,0.004
6069,ALWAYS,California,SOMETIMES,0.063
6069,ALWAYS,California,FREQUENTLY,0.175
6069,ALWAYS,California,ALWAYS,0.739
6071,ALWAYS,California,NEVER,0.027
6071,ALWAYS,California,RARELY,0.022
6071,ALWAYS,California,SOMETIMES,0.048
6071,ALWAYS,California,FREQUENTLY,0.134
6071,ALWAYS,California,ALWAYS,0.768
6073,ALWAYS,California,NEVER,0.017
6073,ALWAYS,California,RARELY,0.023
6073,ALWAYS,California,SOMETIMES,0.034
6073,ALWAYS,California,FREQUENTLY,0.126
6073,ALWAYS,California,ALWAYS,0.8
6075,ALWAYS,California,NEVER,0.017
6075,ALWAYS,California,RARELY,0.011
6075,ALWAYS,California,SOMETIMES,0.035
6075,ALWAYS,California,FREQUENTLY,0.121
6075,ALWAYS,California,ALWAYS,0.817
6077,ALWAYS,California,NEVER,0.054
6077,ALWAYS,California,RARELY,0.019
6077,ALWAYS,California,SOMETIMES,0.081
6077,ALWAYS,California,FREQUENTLY,0.165
6077,ALWAYS,California,ALWAYS,0.68
6079,ALWAYS,California,NEVER,0.025
6079,ALWAYS,California,RARELY,0.024
6079,ALWAYS,California,SOMETIMES,0.037
6079,ALWAYS,California,FREQUENTLY,0.169
6079,ALWAYS,California,ALWAYS,0.745
6081,ALWAYS,California,NEVER,0.016
6081,ALWAYS,California,RARELY,0.013
6081,ALWAYS,California,SOMETIMES,0.058
6081,ALWAYS,California,FREQUENTLY,0.126
6081,ALWAYS,California,ALWAYS,0.786
6083,ALWAYS,California,NEVER,0.015
6083,ALWAYS,California,RARELY,0.02
6083,ALWAYS,California,SOMETIMES,0.075
6083,ALWAYS,California,FREQUENTLY,0.153
6083,ALWAYS,California,ALWAYS,0.737
6085,ALWAYS,California,NEVER,0.015
6085,ALWAYS,California,RARELY,0.014
6085,ALWAYS,California,SOMETIMES,0.04
6085,ALWAYS,California,FREQUENTLY,0.168
6085,ALWAYS,California,ALWAYS,0.764
6087,ALWAYS,California,NEVER,0.008
6087,ALWAYS,California,RARELY,0
6087,ALWAYS,California,SOMETIMES,0.086
6087,ALWAYS,California,FREQUENTLY,0.109
6087,ALWAYS,California,ALWAYS,0.797
6089,ALWAYS,California,NEVER,0.095
6089,ALWAYS,California,RARELY,0.056
6089,ALWAYS,California,SOMETIMES,0.071
6089,ALWAYS,California,FREQUENTLY,0.232
6089,ALWAYS,California,ALWAYS,0.547
6091,ALWAYS,California,NEVER,0.14
6091,ALWAYS,California,RARELY,0.053
6091,ALWAYS,California,SOMETIMES,0.047
6091,ALWAYS,California,FREQUENTLY,0.143
6091,ALWAYS,California,ALWAYS,0.617
6093,ALWAYS,California,NEVER,0.132
6093,ALWAYS,California,RARELY,0.074
6093,ALWAYS,California,SOMETIMES,0.082
6093,ALWAYS,California,FREQUENTLY,0.167
6093,ALWAYS,California,ALWAYS,0.546
6095,ALWAYS,California,NEVER,0.043
6095,ALWAYS,California,RARELY,0.046
6095,ALWAYS,California,SOMETIMES,0.035
6095,ALWAYS,California,FREQUENTLY,0.148
6095,ALWAYS,California,ALWAYS,0.728
6097,ALWAYS,California,NEVER,0.022
6097,ALWAYS,California,RARELY,0.012
6097,ALWAYS,California,SOMETIMES,0.022
6097,ALWAYS,California,FREQUENTLY,0.149
6097,ALWAYS,California,ALWAYS,0.795
6099,ALWAYS,California,NEVER,0.032
6099,ALWAYS,California,RARELY,0.028
6099,ALWAYS,California,SOMETIMES,0.062
6099,ALWAYS,California,FREQUENTLY,0.173
6099,ALWAYS,California,ALWAYS,0.705
6101,ALWAYS,California,NEVER,0.058
6101,ALWAYS,California,RARELY,0.031
6101,ALWAYS,California,SOMETIMES,0.08
6101,ALWAYS,California,FREQUENTLY,0.163
6101,ALWAYS,California,ALWAYS,0.669
6103,ALWAYS,California,NEVER,0.057
6103,ALWAYS,California,RARELY,0.062
6103,ALWAYS,California,SOMETIMES,0.141
6103,ALWAYS,California,FREQUENTLY,0.195
6103,ALWAYS,California,ALWAYS,0.545
6105,ALWAYS,California,NEVER,0.081
6105,ALWAYS,California,RARELY,0.07
6105,ALWAYS,California,SOMETIMES,0.055
6105,ALWAYS,California,FREQUENTLY,0.201
6105,ALWAYS,California,ALWAYS,0.592
6107,ALWAYS,California,NEVER,0.025
6107,ALWAYS,California,RARELY,0.039
6107,ALWAYS,California,SOMETIMES,0.115
6107,ALWAYS,California,FREQUENTLY,0.136
6107,ALWAYS,California,ALWAYS,0.685
6109,ALWAYS,California,NEVER,0.008
6109,ALWAYS,California,RARELY,0.043
6109,ALWAYS,California,SOMETIMES,0.084
6109,ALWAYS,California,FREQUENTLY,0.212
6109,ALWAYS,California,ALWAYS,0.653
6111,ALWAYS,California,NEVER,0.024
6111,ALWAYS,California,RARELY,0.011
6111,ALWAYS,California,SOMETIMES,0.033
6111,ALWAYS,California,FREQUENTLY,0.156
6111,ALWAYS,California,ALWAYS,0.777
6113,ALWAYS,California,NEVER,0.007
6113,ALWAYS,California,RARELY,0.005
6113,ALWAYS,California,SOMETIMES,0.04
6113,ALWAYS,California,FREQUENTLY,0.156
6113,ALWAYS,California,ALWAYS,0.791
6115,ALWAYS,California,NEVER,0.057
6115,ALWAYS,California,RARELY,0.035
6115,ALWAYS,California,SOMETIMES,0.071
6115,ALWAYS,California,FREQUENTLY,0.167
6115,ALWAYS,California,ALWAYS,0.669
9001,ALWAYS,Connecticut,NEVER,0.027
9001,ALWAYS,Connecticut,RARELY,0.019
9001,ALWAYS,Connecticut,SOMETIMES,0.06
9001,ALWAYS,Connecticut,FREQUENTLY,0.114
9001,ALWAYS,Connecticut,ALWAYS,0.78
9003,ALWAYS,Connecticut,NEVER,0.015
9003,ALWAYS,Connecticut,RARELY,0.023
9003,ALWAYS,Connecticut,SOMETIMES,0.065
9003,ALWAYS,Connecticut,FREQUENTLY,0.13
9003,ALWAYS,Connecticut,ALWAYS,0.767
9005,ALWAYS,Connecticut,NEVER,0.017
9005,ALWAYS,Connecticut,RARELY,0.051
9005,ALWAYS,Connecticut,SOMETIMES,0.021
9005,ALWAYS,Connecticut,FREQUENTLY,0.098
9005,ALWAYS,Connecticut,ALWAYS,0.812
9007,ALWAYS,Connecticut,NEVER,0.003
9007,ALWAYS,Connecticut,RARELY,0.007
9007,ALWAYS,Connecticut,SOMETIMES,0.055
9007,ALWAYS,Connecticut,FREQUENTLY,0.128
9007,ALWAYS,Connecticut,ALWAYS,0.807
9009,ALWAYS,Connecticut,NEVER,0.023
9009,ALWAYS,Connecticut,RARELY,0.014
9009,ALWAYS,Connecticut,SOMETIMES,0.053
9009,ALWAYS,Connecticut,FREQUENTLY,0.115
9009,ALWAYS,Connecticut,ALWAYS,0.795
9011,ALWAYS,Connecticut,NEVER,0.025
9011,ALWAYS,Connecticut,RARELY,0.021
9011,ALWAYS,Connecticut,SOMETIMES,0.066
9011,ALWAYS,Connecticut,FREQUENTLY,0.142
9011,ALWAYS,Connecticut,ALWAYS,0.747
9013,ALWAYS,Connecticut,NEVER,0.008
9013,ALWAYS,Connecticut,RARELY,0.008
9013,ALWAYS,Connecticut,SOMETIMES,0.027
9013,ALWAYS,Connecticut,FREQUENTLY,0.147
9013,ALWAYS,Connecticut,ALWAYS,0.81
9015,ALWAYS,Connecticut,NEVER,0.022
9015,ALWAYS,Connecticut,RARELY,0.041
9015,ALWAYS,Connecticut,SOMETIMES,0.082
9015,ALWAYS,Connecticut,FREQUENTLY,0.137
9015,ALWAYS,Connecticut,ALWAYS,0.718
10001,ALWAYS,Delaware,NEVER,0.026
10001,ALWAYS,Delaware,RARELY,0.006
10001,ALWAYS,Delaware,SOMETIMES,0.106
10001,ALWAYS,Delaware,FREQUENTLY,0.051
10001,ALWAYS,Delaware,ALWAYS,0.811
10003,ALWAYS,Delaware,NEVER,0.027
10003,ALWAYS,Delaware,RARELY,0.013
10003,ALWAYS,Delaware,SOMETIMES,0.041
10003,ALWAYS,Delaware,FREQUENTLY,0.133
10003,ALWAYS,Delaware,ALWAYS,0.786
10005,ALWAYS,Delaware,NEVER,0.005
10005,ALWAYS,Delaware,RARELY,0.001
10005,ALWAYS,Delaware,SOMETIMES,0.035
10005,ALWAYS,Delaware,FREQUENTLY,0.103
10005,ALWAYS,Delaware,ALWAYS,0.856
11001,ALWAYS,District of Columbia,NEVER,0.012
11001,ALWAYS,District of Columbia,RARELY,0.013
11001,ALWAYS,District of Columbia,SOMETIMES,0.069
11001,ALWAYS,District of Columbia,FREQUENTLY,0.164
11001,ALWAYS,District of Columbia,ALWAYS,0.743
15001,ALWAYS,Hawaii,NEVER,0.01
15001,ALWAYS,Hawaii,RARELY,0.032
15001,ALWAYS,Hawaii,SOMETIMES,0.037
15001,ALWAYS,Hawaii,FREQUENTLY,0.122
15001,ALWAYS,Hawaii,ALWAYS,0.799
15003,ALWAYS,Hawaii,NEVER,0.011
15003,ALWAYS,Hawaii,RARELY,0.012
15003,ALWAYS,Hawaii,SOMETIMES,0.027
15003,ALWAYS,Hawaii,FREQUENTLY,0.151
15003,ALWAYS,Hawaii,ALWAYS,0.798
15005,ALWAYS,Hawaii,NEVER,0.026
15005,ALWAYS,Hawaii,RARELY,0.013
15005,ALWAYS,Hawaii,SOMETIMES,0.032
15005,ALWAYS,Hawaii,FREQUENTLY,0.08
15005,ALWAYS,Hawaii,ALWAYS,0.85
15007,ALWAYS,Hawaii,NEVER,0
15007,ALWAYS,Hawaii,RARELY,0.021
15007,ALWAYS,Hawaii,SOMETIMES,0.046
15007,ALWAYS,Hawaii,FREQUENTLY,0.108
15007,ALWAYS,Hawaii,ALWAYS,0.825
15009,ALWAYS,Hawaii,NEVER,0.034
15009,ALWAYS,Hawaii,RARELY,0.016
15009,ALWAYS,Hawaii,SOMETIMES,0.025
15009,ALWAYS,Hawaii,FREQUENTLY,0.122
15009,ALWAYS,Hawaii,ALWAYS,0.803
24001,ALWAYS,Maryland,NEVER,0.007
24001,ALWAYS,Maryland,RARELY,0.01
24001,ALWAYS,Maryland,SOMETIMES,0.035
24001,ALWAYS,Maryland,FREQUENTLY,0.213
24001,ALWAYS,Maryland,ALWAYS,0.736
24003,ALWAYS,Maryland,NEVER,0.018
24003,ALWAYS,Maryland,RARELY,0.022
24003,ALWAYS,Maryland,SOMETIMES,0.067
24003,ALWAYS,Maryland,FREQUENTLY,0.154
24003,ALWAYS,Maryland,ALWAYS,0.739
24005,ALWAYS,Maryland,NEVER,0.013
24005,ALWAYS,Maryland,RARELY,0.024
24005,ALWAYS,Maryland,SOMETIMES,0.043
24005,ALWAYS,Maryland,FREQUENTLY,0.142
24005,ALWAYS,Maryland,ALWAYS,0.777
24009,ALWAYS,Maryland,NEVER,0.049
24009,ALWAYS,Maryland,RARELY,0.049
24009,ALWAYS,Maryland,SOMETIMES,0.071
24009,ALWAYS,Maryland,FREQUENTLY,0.11
24009,ALWAYS,Maryland,ALWAYS,0.72
24011,ALWAYS,Maryland,NEVER,0.009
24011,ALWAYS,Maryland,RARELY,0.019
24011,ALWAYS,Maryland,SOMETIMES,0.033
24011,ALWAYS,Maryland,FREQUENTLY,0.168
24011,ALWAYS,Maryland,ALWAYS,0.77
24013,ALWAYS,Maryland,NEVER,0.014
24013,ALWAYS,Maryland,RARELY,0.008
24013,ALWAYS,Maryland,SOMETIMES,0.062
24013,ALWAYS,Maryland,FREQUENTLY,0.17
24013,ALWAYS,Maryland,ALWAYS,0.746
24015,ALWAYS,Maryland,NEVER,0.009
24015,ALWAYS,Maryland,RARELY,0.018
24015,ALWAYS,Maryland,SOMETIMES,0.054
24015,ALWAYS,Maryland,FREQUENTLY,0.182
24015,ALWAYS,Maryland,ALWAYS,0.738
24017,ALWAYS,Maryland,NEVER,0.035
24017,ALWAYS,Maryland,RARELY,0.034
24017,ALWAYS,Maryland,SOMETIMES,0.107
24017,ALWAYS,Maryland,FREQUENTLY,0.157
24017,ALWAYS,Maryland,ALWAYS,0.667
24019,ALWAYS,Maryland,NEVER,0.02
24019,ALWAYS,Maryland,RARELY,0.006
24019,ALWAYS,Maryland,SOMETIMES,0.011
24019,ALWAYS,Maryland,FREQUENTLY,0.119
24019,ALWAYS,Maryland,ALWAYS,0.844
24021,ALWAYS,Maryland,NEVER,0.028
24021,ALWAYS,Maryland,RARELY,0.036
24021,ALWAYS,Maryland,SOMETIMES,0.062
24021,ALWAYS,Maryland,FREQUENTLY,0.113
24021,ALWAYS,Maryland,ALWAYS,0.762
24023,ALWAYS,Maryland,NEVER,0.077
24023,ALWAYS,Maryland,RARELY,0.008
24023,ALWAYS,Maryland,SOMETIMES,0.04
24023,ALWAYS,Maryland,FREQUENTLY,0.305
24023,ALWAYS,Maryland,ALWAYS,0.571
24025,ALWAYS,Maryland,NEVER,0.008
24025,ALWAYS,Maryland,RARELY,0.009
24025,ALWAYS,Maryland,SOMETIMES,0.037
24025,ALWAYS,Maryland,FREQUENTLY,0.168
24025,ALWAYS,Maryland,ALWAYS,0.778
24027,ALWAYS,Maryland,NEVER,0.024
24027,ALWAYS,Maryland,RARELY,0.015
24027,ALWAYS,Maryland,SOMETIMES,0.067
24027,ALWAYS,Maryland,FREQUENTLY,0.17
24027,ALWAYS,Maryland,ALWAYS,0.723
24029,ALWAYS,Maryland,NEVER,0.005
24029,ALWAYS,Maryland,RARELY,0.014
24029,ALWAYS,Maryland,SOMETIMES,0.06
24029,ALWAYS,Maryland,FREQUENTLY,0.207
24029,ALWAYS,Maryland,ALWAYS,0.714
24031,ALWAYS,Maryland,NEVER,0.025
24031,ALWAYS,Maryland,RARELY,0.029
24031,ALWAYS,Maryland,SOMETIMES,0.041
24031,ALWAYS,Maryland,FREQUENTLY,0.128
24031,ALWAYS,Maryland,ALWAYS,0.777
24033,ALWAYS,Maryland,NEVER,0.087
24033,ALWAYS,Maryland,RARELY,0.034
24033,ALWAYS,Maryland,SOMETIMES,0.064
24033,ALWAYS,Maryland,FREQUENTLY,0.094
24033,ALWAYS,Maryland,ALWAYS,0.72
24035,ALWAYS,Maryland,NEVER,0.002
24035,ALWAYS,Maryland,RARELY,0.042
24035,ALWAYS,Maryland,SOMETIMES,0.041
24035,ALWAYS,Maryland,FREQUENTLY,0.309
24035,ALWAYS,Maryland,ALWAYS,0.605
24037,ALWAYS,Maryland,NEVER,0.04
24037,ALWAYS,Maryland,RARELY,0.009
24037,ALWAYS,Maryland,SOMETIMES,0.036
24037,ALWAYS,Maryland,FREQUENTLY,0.152
24037,ALWAYS,Maryland,ALWAYS,0.763
24039,ALWAYS,Maryland,NEVER,0.004
24039,ALWAYS,Maryland,RARELY,0.01
24039,ALWAYS,Maryland,SOMETIMES,0.047
24039,ALWAYS,Maryland,FREQUENTLY,0.128
24039,ALWAYS,Maryland,ALWAYS,0.812
24041,ALWAYS,Maryland,NEVER,0.012
24041,ALWAYS,Maryland,RARELY,0.012
24041,ALWAYS,Maryland,SOMETIMES,0.006
24041,ALWAYS,Maryland,FREQUENTLY,0.127
24041,ALWAYS,Maryland,ALWAYS,0.843
24043,ALWAYS,Maryland,NEVER,0.031
24043,ALWAYS,Maryland,RARELY,0.047
24043,ALWAYS,Maryland,SOMETIMES,0.085
24043,ALWAYS,Maryland,FREQUENTLY,0.194
24043,ALWAYS,Maryland,ALWAYS,0.642
24045,ALWAYS,Maryland,NEVER,0.006
24045,ALWAYS,Maryland,RARELY,0.011
24045,ALWAYS,Maryland,SOMETIMES,0.063
24045,ALWAYS,Maryland,FREQUENTLY,0.116
24045,ALWAYS,Maryland,ALWAYS,0.804
24047,ALWAYS,Maryland,NEVER,0.003
24047,ALWAYS,Maryland,RARELY,0.004
24047,ALWAYS,Maryland,SOMETIMES,0.042
24047,ALWAYS,Maryland,FREQUENTLY,0.11
24047,ALWAYS,Maryland,ALWAYS,0.842
24510,ALWAYS,Maryland,NEVER,0.024
24510,ALWAYS,Maryland,RARELY,0.032
24510,ALWAYS,Maryland,SOMETIMES,0.063
24510,ALWAYS,Maryland,FREQUENTLY,0.148
24510,ALWAYS,Maryland,ALWAYS,0.733
25001,ALWAYS,Massachusetts,NEVER,0.019
25001,ALWAYS,Massachusetts,RARELY,0.007
25001,ALWAYS,Massachusetts,SOMETIMES,0.026
25001,ALWAYS,Massachusetts,FREQUENTLY,0.109
25001,ALWAYS,Massachusetts,ALWAYS,0.839
25003,ALWAYS,Massachusetts,NEVER,0.03
25003,ALWAYS,Massachusetts,RARELY,0.004
25003,ALWAYS,Massachusetts,SOMETIMES,0.049
25003,ALWAYS,Massachusetts,FREQUENTLY,0.082
